région;fédération;sexe;nombre_licencies;code_region;annee
27 - Bourgogne-Franche-Comté;fédération Française de Football;H;86935;27;2023
27 - Bourgogne-Franche-Comté;fédération Française d'équitation;F;26846;27;2023
27 - Bourgogne-Franche-Comté;fédération Française de Tennis;H;20735;27;2023
27 - Bourgogne-Franche-Comté;fédération Française de Judo, Jujitsu, Kendo et Disciplines Associées;H;15659;27;2023
27 - Bourgogne-Franche-Comté;fédération Française d'éducation Physique et de Gymnastique Volontaire;F;15650;27;2023
27 - Bourgogne-Franche-Comté;fédération Française de Handball;H;15115;27;2023
27 - Bourgogne-Franche-Comté;fédération Française de Basketball;H;12684;27;2023
27 - Bourgogne-Franche-Comté;fédération Française de Gymnastique;F;12387;27;2023
27 - Bourgogne-Franche-Comté;fédération Française de Football;F;11254;27;2023
27 - Bourgogne-Franche-Comté;fédération Française de Handball;F;11004;27;2023
