région;fédération;sexe;nombre_licencies;code_region;annee
53 - Bretagne;fédération Française de Football;H;136733;53;2023
53 - Bretagne;fédération Française de Tennis;H;32498;53;2023
53 - Bretagne;fédération Française d'équitation;F;31703;53;2023
53 - Bretagne;fédération Française de Voile;H;26215;53;2023
53 - Bretagne;fédération Française de Basketball;H;22969;53;2023
53 - Bretagne;fédération Française de Handball;H;21865;53;2023
53 - Bretagne;fédération Française Sports Pour Tous;F;18382;53;2023
53 - Bretagne;fédération Française de Handball;F;17823;53;2023
53 - Bretagne;fédération Française de Voile;F;15922;53;2023
53 - Bretagne;fédération Française d'éducation Physique et de Gymnastique Volontaire;F;15073;53;2023
