région;fédération;sexe;nombre_licencies;code_region;annee
11 - Île-de-France;fédération Franéaise de Football;H;278822;11;2023
11 - Île-de-France;fédération Franéaise de Tennis;H;176186;11;2023
11 - Île-de-France;fédération Franéaise d'équitation;F;77986;11;2023
11 - Île-de-France;fédération Franéaise de Tennis;F;75110;11;2023
11 - Île-de-France;fédération Franéaise de Golf;H;73145;11;2023
11 - Île-de-France;fédération Franéaise de Judo, Jujitsu, Kendo et Disciplines Associées;H;73095;11;2023
11 - Île-de-France;fédération Franéaise de Basketball;H;59742;11;2023
11 - Île-de-France;fédération Franéaise de Gymnastique;F;50861;11;2023
11 - Île-de-France;fédération Franéaise d'éducation Physique et de Gymnastique Volontaire;F;47649;11;2023
11 - Île-de-France;fédération Franéaise de Natation;F;44062;11;2023
