région;fédération;sexe;nombre_licencies;code_region;annee
28 - Normandie;fédération Française de Football;H;102405;28;2023
28 - Normandie;fédération Française d'équitation;F;34660;28;2023
28 - Normandie;fédération Française de Tennis;H;34545;28;2023
28 - Normandie;fédération Française d'éducation Physique et de Gymnastique Volontaire;F;23719;28;2023
28 - Normandie;fédération Française de Gymnastique;F;20310;28;2023
28 - Normandie;fédération Française de Basketball;H;19569;28;2023
28 - Normandie;fédération Française de Judo, Jujitsu, Kendo et Disciplines Associées;H;19492;28;2023
28 - Normandie;fédération Française de Handball;H;19058;28;2023
28 - Normandie;fédération Française de Tennis;F;14431;28;2023
28 - Normandie;fédération Française de Football;F;12566;28;2023
