région;fédération;sexe;nombre_licencies;code_region;annee
75 - Nouvelle-Aquitaine;fédération Française de Football;H;171228;75;2023
75 - Nouvelle-Aquitaine;fédération Française de Tennis;H;70311;75;2023
75 - Nouvelle-Aquitaine;fédération Française de Rugby;H;64325;75;2023
75 - Nouvelle-Aquitaine;fédération Française d'équitation;F;61007;75;2023
75 - Nouvelle-Aquitaine;fédération Française d'éducation Physique et de Gymnastique Volontaire;F;52257;75;2023
75 - Nouvelle-Aquitaine;fédération Française de Golf;H;39282;75;2023
75 - Nouvelle-Aquitaine;fédération Française de Basketball;H;37731;75;2023
75 - Nouvelle-Aquitaine;fédération Française de Tennis;F;29737;75;2023
75 - Nouvelle-Aquitaine;fédération Française de Handball;F;26584;75;2023
75 - Nouvelle-Aquitaine;fédération Française de Gymnastique;F;24388;75;2023
