région;fédération;sexe;nombre_licencies;code_region;annee
32 - Hauts-de-France;fédération Française de Football;H;216810;32;2023
32 - Hauts-de-France;fédération Française d'équitation;F;54796;32;2023
32 - Hauts-de-France;fédération Française de Tennis;H;54544;32;2023
32 - Hauts-de-France;fédération Française de Basketball;H;38765;32;2023
32 - Hauts-de-France;fédération Française de Judo, Jujitsu, Kendo et Disciplines Associées;H;31751;32;2023
32 - Hauts-de-France;fédération Française de Football;F;24176;32;2023
32 - Hauts-de-France;fédération Française de Tennis;F;21320;32;2023
32 - Hauts-de-France;fédération Française de Handball;H;20573;32;2023
32 - Hauts-de-France;fédération Française de Gymnastique;F;18630;32;2023
32 - Hauts-de-France;fédération Française de Basketball;F;18377;32;2023
