région;fédération;sexe;nombre_licencies;code_region;annee
44 - Grand Est;fédération Française de Football;H;190605;44;2023
44 - Grand Est;fédération Française de Tennis;H;54298;44;2023
44 - Grand Est;fédération Française d'équitation;F;48767;44;2023
44 - Grand Est;fédération Française de Handball;H;31616;44;2023
44 - Grand Est;fédération Française de Gymnastique;F;30529;44;2023
44 - Grand Est;fédération Française de Basketball;H;30476;44;2023
44 - Grand Est;fédération Française de Tir;H;27841;44;2023
44 - Grand Est;fédération Française de Tennis;F;26698;44;2023
44 - Grand Est;fédération Française d'éducation Physique et de Gymnastique Volontaire;F;22832;44;2023
44 - Grand Est;fédération Française de Football;F;20479;44;2023
