région;fédération;sexe;nombre_licencies;code_region;annee
Toutes;Fédération Française de Football;Tous;2215848;;
Toutes;Fédération Française de Tennis;Tous;1106989;;
Toutes;Fédération Française d'équitation;Tous;675186;;
Toutes;Fédération Française de Basketball;Tous;594408;;
Toutes;Fédération Française de Handball;Tous;531864;;
Toutes;Fédération Française de Golf;Tous;163886;;
Toutes;Fédération Française de Judo, Jujitsu, Kendo et Disciplines Associées ;Tous;250741;;
Toutes;Fédération Française de Gymnastique;Tous;246244;;
Toutes;Fédération Française de éducation Physique et de Gymnastique Volontaire;Tous;351564;;
Toutes;Fédération Française de Natation;Tous;84388;;
Toutes;Fédération Française de Rugby;Tous;187916;;
Toutes;Fédération Française de Tir;Tous;63116;;
Toutes;Fédération Française de Pétanque et Jeu Provençal;Tous;50663;;
Toutes;Fédération Française de Voile;Tous;73793;;
Toutes;Fédération Française de Sport Pour Tous;Tous;18382;;
Toutes;Fédération Française de Clubs Alpins et de Montagne;Tous;2006;;
Toutes;Fédération Française de Ski;Tous;1159;;
Toutes;Fédération Française de études et Sport Sous-Marin;Tous;4431;;
