région;fédération;sexe;nombre_licencies;code_region;annee
84 - Auvergne-Rhône-Alpes;fédération Française de Football;H;239033;84;2023
84 - Auvergne-Rhône-Alpes;fédération Française de Tennis;H;97737;84;2023
84 - Auvergne-Rhône-Alpes;fédération Française d'équitation;F;71527;84;2023
84 - Auvergne-Rhône-Alpes;fédération Française d'éducation Physique et de Gymnastique Volontaire;F;59818;84;2023
84 - Auvergne-Rhône-Alpes;fédération Française de Rugby;H;53227;84;2023
84 - Auvergne-Rhône-Alpes;fédération Française de Basketball;H;51073;84;2023
84 - Auvergne-Rhône-Alpes;fédération Française de Judo, Jujitsu, Kendo et Disciplines Associées;H;41950;84;2023
84 - Auvergne-Rhône-Alpes;fédération Française de Tennis;F;40780;84;2023
84 - Auvergne-Rhône-Alpes;fédération Française de Basketball;F;30407;84;2023
84 - Auvergne-Rhône-Alpes;fédération Française de Gymnastique;F;29701;84;2023
