région;fédération;sexe;nombre_licencies;code_region;annee
93 - Provence-Alpes-Côte d'Azur;fédération Française de Football;H;111399;93;2023
93 - Provence-Alpes-Côte d'Azur;fédération Française de Tennis;H;71641;93;2023
93 - Provence-Alpes-Côte d'Azur;fédération Française d'équitation;F;36901;93;2023
93 - Provence-Alpes-Côte d'Azur;fédération Française de Golf;H;30143;93;2023
93 - Provence-Alpes-Côte d'Azur;fédération Française de Tennis;F;29949;93;2023
93 - Provence-Alpes-Côte d'Azur;fédération Française de Tir;H;28136;93;2023
93 - Provence-Alpes-Côte d'Azur;fédération Française de Voile;H;26827;93;2023
93 - Provence-Alpes-Côte d'Azur;fédération Française de Natation;F;24010;93;2023
93 - Provence-Alpes-Côte d'Azur;fédération Française d'éducation Physique et de Gymnastique Volontaire;F;22935;93;2023
93 - Provence-Alpes-Côte d'Azur;fédération Française de Gymnastique;F;21055;93;2023
