région;fédération;sexe;nombre_licencies;code_region;annee
76 - Occitanie;fédération Française de Football;H;152376;76;2023
76 - Occitanie;fédération Française de Tennis;H;76193;76;2023
76 - Occitanie;fédération Française de Rugby;H;69983;76;2023
76 - Occitanie;fédération Française d'équitation;F;55737;76;2023
76 - Occitanie;fédération Française de Pétanque et Jeu Provençal;H;48861;76;2023
76 - Occitanie;fédération Française d'éducation Physique et de Gymnastique Volontaire;F;48739;76;2023
76 - Occitanie;fédération Française de Tennis;F;33061;76;2023
76 - Occitanie;fédération Française de Judo, Jujitsu, Kendo et Disciplines Associées;H;29692;76;2023
76 - Occitanie;fédération Française de Football;F;18809;76;2023
76 - Occitanie;fédération Française de Gymnastique;F;18401;76;2023
