région;fédération;sexe;nombre_licencies;code_region;annee
980 - Monaco;Fédération Française de Tennis;H;1728;980;2023
980 - Monaco;Fédération Française de Tennis;F;1027;980;2023
980 - Monaco;Fédération Française de Golf;H;753;980;2023
980 - Monaco;Fédération Française de Football;H;423;980;2023
980 - Monaco;Fédération Française de Rugby;H;381;980;2023
980 - Monaco;Fédération Française de Golf;F;368;980;2023
980 - Monaco;Fédération Française de Gymnastique;F;344;980;2023
980 - Monaco;Fédération Française d'équitation;F;288;980;2023
980 - Monaco;Fédération Française de Voile;H;219;980;2023
980 - Monaco;Fédération Française de Voile;F;113;980;2023
