région;fédération;sexe;nombre_licencies;code_region;annee
24 - Centre-Val de Loire;fédération Française de Football;H;76638;24;2023
24 - Centre-Val de Loire;fédération Française de Tennis;H;27712;24;2023
24 - Centre-Val de Loire;fédération Française d'éducation Physique et de Gymnastique Volontaire;F;26193;24;2023
24 - Centre-Val de Loire;fédération Française d'équitation;F;25846;24;2023
24 - Centre-Val de Loire;fédération Française de Basketball;H;16927;24;2023
24 - Centre-Val de Loire;fédération Française de Handball;H;13621;24;2023
24 - Centre-Val de Loire;fédération Française de Judo, Jujitsu, Kendo et Disciplines Associées;H;13619;24;2023
24 - Centre-Val de Loire;fédération Française de Tennis;F;11859;24;2023
24 - Centre-Val de Loire;fédération Française de Gymnastique;F;11164;24;2023
24 - Centre-Val de Loire;fédération Française de Football;F;9442;24;2023
