région;fédération;sexe;nombre_licencies;code_region;annee
52 - Pays de la Loire;fédération Française de Football;H;153218;52;2023
52 - Pays de la Loire;fédération Française de Basketball;H;39299;52;2023
52 - Pays de la Loire;fédération Française de Tennis;H;38185;52;2023
52 - Pays de la Loire;fédération Française d'équitation;F;34117;52;2023
52 - Pays de la Loire;fédération Française de Basketball;F;28678;52;2023
52 - Pays de la Loire;fédération Française de Handball;H;25944;52;2023
52 - Pays de la Loire;fédération Française de Judo, Jujitsu, Kendo et Disciplines Associées;H;18843;52;2023
52 - Pays de la Loire;fédération Française de Football;F;17386;52;2023
52 - Pays de la Loire;fédération Française d'éducation Physique et de Gymnastique Volontaire;F;15656;52;2023
52 - Pays de la Loire;fédération Française de Handball;F;14672;52;2023
